

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

457.376  000.198  000.198: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/syntastic/cursor.vim
457.606  000.180  000.180: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/syntastic/highlighting.vim
458.226  000.577  000.577: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/syntastic/loclist.vim
458.832  000.547  000.547: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/syntastic/modemap.vim
459.055  000.160  000.160: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/syntastic/notifiers.vim
459.829  000.733  000.733: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/syntastic/registry.vim
460.100  000.209  000.209: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/syntastic/signs.vim
460.635  000.039  000.039: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/syntastic/plugin/syntastic/autoloclist.vim
460.701  000.025  000.025: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/syntastic/plugin/syntastic/balloons.vim
460.760  000.024  000.024: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/syntastic/plugin/syntastic/checker.vim
460.817  000.024  000.024: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/syntastic/plugin/syntastic/cursor.vim
460.877  000.024  000.024: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/syntastic/plugin/syntastic/highlighting.vim
460.935  000.023  000.023: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/syntastic/plugin/syntastic/loclist.vim
460.994  000.024  000.024: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/syntastic/plugin/syntastic/modemap.vim
461.051  000.023  000.023: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/syntastic/plugin/syntastic/notifiers.vim
461.110  000.023  000.023: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/syntastic/plugin/syntastic/registry.vim
461.167  000.024  000.024: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/syntastic/plugin/syntastic/signs.vim
465.000  275.229  270.675: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/syntastic.vim
466.089  000.432  000.432: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/translate.vim
466.490  000.279  000.279: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/vsession.vim
467.541  000.984  000.984: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/winresizer.vim
468.669  000.671  000.671: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/previm/plugin/previm.vim
469.093  000.193  000.193: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/tig-explorer.vim/plugin/tig_explorer.vim
469.979  000.492  000.492: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/defx.nvim/plugin/defx.vim
470.377  000.178  000.178: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/denite.nvim/plugin/denite.vim
470.595  000.071  000.071: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/open-browser.vim/plugin/openbrowser.vim
471.614  000.407  000.407: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/vim-gitgutter/autoload/gitgutter/utility.vim
472.758  000.355  000.355: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/vim-gitgutter/autoload/gitgutter/highlight.vim
479.804  009.067  008.305: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/vim-gitgutter/plugin/gitgutter.vim
480.407  000.371  000.371: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/lightline.vim/plugin/lightline.vim
480.767  000.175  000.175: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/pudb.vim/plugin/pudb.vim
485.050  004.123  004.123: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/nvim-ts-rainbow/plugin/rainbow.vim
487.478  001.719  001.719: sourcing /usr/local/share/nvim/runtime/autoload/provider/pythonx.vim
488.524  000.554  000.554: sourcing /usr/local/share/nvim/runtime/autoload/remote/host.vim
488.799  003.277  001.004: sourcing /usr/local/share/nvim/runtime/autoload/provider/python3.vim
490.139  004.898  001.621: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/vimspector/plugin/vimspector.vim
490.954  000.046  000.046: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/syntastic/plugin/syntastic/autoloclist.vim
491.028  000.027  000.027: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/syntastic/plugin/syntastic/balloons.vim
491.088  000.025  000.025: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/syntastic/plugin/syntastic/checker.vim
491.149  000.026  000.026: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/syntastic/plugin/syntastic/cursor.vim
491.209  000.026  000.026: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/syntastic/plugin/syntastic/highlighting.vim
491.268  000.024  000.024: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/syntastic/plugin/syntastic/loclist.vim
491.325  000.023  000.023: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/syntastic/plugin/syntastic/modemap.vim
491.382  000.023  000.023: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/syntastic/plugin/syntastic/notifiers.vim
491.440  000.024  000.024: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/syntastic/plugin/syntastic/registry.vim
491.499  000.025  000.025: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/syntastic/plugin/syntastic/signs.vim
491.565  000.031  000.031: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/syntastic/plugin/syntastic.vim
494.686  000.681  000.681: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/ale/autoload/ale/events.vim
495.618  003.865  003.184: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/ale/plugin/ale.vim
497.371  000.979  000.979: sourcing /usr/local/share/nvim/runtime/plugin/gzip.vim
497.874  000.153  000.153: sourcing /usr/local/share/nvim/runtime/plugin/health.vim
498.515  000.560  000.560: sourcing /usr/local/share/nvim/runtime/plugin/man.vim
500.639  001.014  001.014: sourcing /usr/local/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
